County Name,State,IMU Score,Zipcode,Population Underserved,Lat,Lng
Teton County,WY,81.4,56039,5401,43.760994,-111.211765
Teton County,WY,81.4,56039,5401,47.819035,-112.281725
Teton County,WY,81.4,56039,5401,44.048662,-110.426075
Teton County,WY,57.7,56039,4479,43.760994,-111.211765
Teton County,WY,57.7,56039,4479,47.819035,-112.281725
Teton County,WY,57.7,56039,4479,44.048662,-110.426075
Teton County,ID,58.1,16081,,43.760994,-111.211765
Teton County,ID,58.1,16081,,47.819035,-112.281725
Teton County,ID,58.1,16081,,44.048662,-110.426075
Teton County,MT,56.5,30099,,43.760994,-111.211765
Teton County,MT,56.5,30099,,47.819035,-112.281725
Teton County,MT,56.5,30099,,44.048662,-110.426075
Teton County,MT,56.5,30099,,43.760994,-111.211765
Teton County,MT,56.5,30099,,47.819035,-112.281725
Teton County,MT,56.5,30099,,44.048662,-110.426075
Teton County,MT,59,30099,,43.760994,-111.211765
Teton County,MT,59,30099,,47.819035,-112.281725
Teton County,MT,59,30099,,44.048662,-110.426075
Sublette County,WY,76.5,56035,1758,42.767928,-109.91617
Sheridan County,WY,85.7,56033,4685,39.350547,-100.441228
Sheridan County,WY,85.7,56033,4685,48.705523,-104.533913
Sheridan County,WY,85.7,56033,4685,42.512289,-102.36828
Sheridan County,WY,85.7,56033,4685,47.581359,-100.330986
Sheridan County,WY,85.7,56033,4685,44.781369,-106.881211
Sheridan County,WY,85.7,56033,4685,39.350547,-100.441228
Sheridan County,WY,85.7,56033,4685,48.705523,-104.533913
Sheridan County,WY,85.7,56033,4685,42.512289,-102.36828
Sheridan County,WY,85.7,56033,4685,47.581359,-100.330986
Sheridan County,WY,85.7,56033,4685,44.781369,-106.881211
Sheridan County,WY,85.7,56033,4685,39.350547,-100.441228
Sheridan County,WY,85.7,56033,4685,48.705523,-104.533913
Sheridan County,WY,85.7,56033,4685,42.512289,-102.36828
Sheridan County,WY,85.7,56033,4685,47.581359,-100.330986
Sheridan County,WY,85.7,56033,4685,44.781369,-106.881211
Sheridan County,WY,85.7,56033,4685,39.350547,-100.441228
Sheridan County,WY,85.7,56033,4685,48.705523,-104.533913
Sheridan County,WY,85.7,56033,4685,42.512289,-102.36828
Sheridan County,WY,85.7,56033,4685,47.581359,-100.330986
Sheridan County,WY,85.7,56033,4685,44.781369,-106.881211
Sheridan County,WY,57.5,56033,4951,39.350547,-100.441228
Sheridan County,WY,57.5,56033,4951,48.705523,-104.533913
Sheridan County,WY,57.5,56033,4951,42.512289,-102.36828
Sheridan County,WY,57.5,56033,4951,47.581359,-100.330986
Sheridan County,WY,57.5,56033,4951,44.781369,-106.881211
Sheridan County,MT,54.5,30091,,39.350547,-100.441228
Sheridan County,MT,54.5,30091,,48.705523,-104.533913
Sheridan County,MT,54.5,30091,,42.512289,-102.36828
Sheridan County,MT,54.5,30091,,47.581359,-100.330986
Sheridan County,MT,54.5,30091,,44.781369,-106.881211
Sheridan County,KS,58.6,20179,,39.350547,-100.441228
Sheridan County,KS,58.6,20179,,48.705523,-104.533913
Sheridan County,KS,58.6,20179,,42.512289,-102.36828
Sheridan County,KS,58.6,20179,,47.581359,-100.330986
Sheridan County,KS,58.6,20179,,44.781369,-106.881211
Sheridan County,MT,49.4,30091,,39.350547,-100.441228
Sheridan County,MT,49.4,30091,,48.705523,-104.533913
Sheridan County,MT,49.4,30091,,42.512289,-102.36828
Sheridan County,MT,49.4,30091,,47.581359,-100.330986
Sheridan County,MT,49.4,30091,,44.781369,-106.881211
Sheridan County,MT,49.4,30091,,39.350547,-100.441228
Sheridan County,MT,49.4,30091,,48.705523,-104.533913
Sheridan County,MT,49.4,30091,,42.512289,-102.36828
Sheridan County,MT,49.4,30091,,47.581359,-100.330986
Sheridan County,MT,49.4,30091,,44.781369,-106.881211
Sheridan County,ND,24.7,38083,,39.350547,-100.441228
Sheridan County,ND,24.7,38083,,48.705523,-104.533913
Sheridan County,ND,24.7,38083,,42.512289,-102.36828
Sheridan County,ND,24.7,38083,,47.581359,-100.330986
Sheridan County,ND,24.7,38083,,44.781369,-106.881211
Bayfield County,WI,49,55007,15078,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Bayfield County,WI,57.8,55007,,46.634199,-91.177282
Shenandoah County,VA,59.9,51171,42059,38.856204,-78.573987
Middlesex County,VA,58.8,51119,10505,41.433003,-72.52278
Middlesex County,VA,58.8,51119,10505,42.481718,-71.394916
Middlesex County,VA,58.8,51119,10505,40.439621,-74.40743
Middlesex County,VA,58.8,51119,10505,37.606975,-76.528082
Middlesex County,NJ,0,34023,,41.433003,-72.52278
Middlesex County,NJ,0,34023,,42.481718,-71.394916
Middlesex County,NJ,0,34023,,40.439621,-74.40743
Middlesex County,NJ,0,34023,,37.606975,-76.528082
Middlesex County,NJ,0,34023,,41.433003,-72.52278
Middlesex County,NJ,0,34023,,42.481718,-71.394916
Middlesex County,NJ,0,34023,,40.439621,-74.40743
