State,Zip,Latitude,Longitude,IMU Score
AL,1117.0,33.253385521,-86.81298709200001,49.2
AL,1095.0,34.3649133480001,-86.42135152700001,58.0
AL,1095.0,34.2214658500001,-86.16062816799999,58.0
AL,1069.0,31.216303648000103,-85.36363112399991,57.6
AL,1069.0,31.203815636999998,-85.38460111599991,57.6
AL,1069.0,31.216289171,-85.36294421,57.6
AL,1069.0,31.237429987,-85.45704246,57.6
AL,1069.0,31.2179119100001,-85.365812633,57.6
AL,1025.0,31.694302296,-87.77602462700001,57.3
AL,1025.0,31.53106846,-87.895134564,57.3
AL,1053.0,31.017023865000102,-87.47879851299999,53.5
AL,1053.0,31.127033909,-87.0734993039999,53.5
AL,1041.0,31.694588547,-86.26319151,58.7
AL,1041.0,31.693544069,-86.265045701,58.7
AL,1003.0,30.518879028000104,-87.88944743699992,58.4
AL,1003.0,30.518879028000104,-87.88944743699992,49.9
AL,1003.0,30.635289145999998,-87.89513909700001,58.4
AL,1003.0,30.635289145999998,-87.89513909700001,49.9
AL,1003.0,30.425835684000003,-87.68468564700001,58.4
AL,1003.0,30.425835684000003,-87.68468564700001,49.9
AL,1003.0,30.903934361999998,-87.78502249600001,58.4
AL,1003.0,30.903934361999998,-87.78502249600001,49.9
AL,1055.0,34.0077362820001,-85.965982141,51.0
AL,1055.0,34.072425745,-86.019766069,51.0
AL,1055.0,34.0043255430001,-86.00342706,51.0
AL,1055.0,34.006741223000105,-85.968488438,51.0
AL,1123.0,32.8185985690001,-85.74113990599992,53.3
AL,1123.0,32.9302132720001,-85.969566148,53.3
AL,1019.0,34.161458302,-85.65108877599991,56.1
AL,1083.0,34.8042455780001,-86.978872603,46.2
AL,1083.0,34.8041639300001,-86.978407208,46.2
AL,1097.0,30.6248084910001,-88.178008125,59.6
AL,1097.0,30.6248084910001,-88.178008125,54.7
AL,1097.0,30.6248084910001,-88.178008125,56.8
AL,1097.0,30.695724958000003,-88.07977619199991,59.6
AL,1097.0,30.695724958000003,-88.07977619199991,54.7
AL,1097.0,30.695724958000003,-88.07977619199991,56.8
AL,1097.0,30.684517488,-88.13133629100001,59.6
AL,1097.0,30.684517488,-88.13133629100001,54.7
AL,1097.0,30.684517488,-88.13133629100001,56.8
AL,1097.0,30.679327656999998,-88.199079374,59.6
AL,1097.0,30.679327656999998,-88.199079374,54.7
AL,1097.0,30.679327656999998,-88.199079374,56.8
AL,1097.0,30.70706198,-88.09833485699991,59.6
AL,1097.0,30.70706198,-88.09833485699991,54.7
AL,1097.0,30.70706198,-88.09833485699991,56.8
AL,1097.0,30.696900692,-88.0802905749999,59.6
AL,1097.0,30.696900692,-88.0802905749999,54.7
AL,1097.0,30.696900692,-88.0802905749999,56.8
AL,1097.0,30.697683816999998,-88.0778076399999,59.6
AL,1097.0,30.697683816999998,-88.0778076399999,54.7
AL,1097.0,30.697683816999998,-88.0778076399999,56.8
AL,1073.0,33.5044482610001,-86.80134612099991,57.6
AL,1073.0,33.5044482610001,-86.80134612099991,57.4
